Date,Equity
2022-08-09,223821.91410822046
2022-08-10,229684.84153090173
2022-08-11,228666.9416521326
2022-08-12,233566.30325313433
2022-08-15,235045.57151262288
2022-08-16,234828.42372608138
2022-08-17,236891.25441529683
2022-08-18,236348.45823187174
2022-08-19,232779.1189716943
2022-08-22,227418.38898997314
2022-08-23,226956.91591935564
2022-08-24,227364.07587086328
2022-08-25,230756.94983888263
2022-08-26,222057.5961943132
2022-08-29,219017.54812071205
2022-08-30,215665.41946101494
2022-08-31,213371.81036053147
2022-09-01,214376.12149053326
2022-09-02,211458.2255899803
2022-09-06,209721.06423562803
2022-09-07,211661.82650371373
2022-09-08,209626.06862213477
2022-09-09,213575.36939830572
2022-09-12,221799.7240374292
2022-09-13,208784.6340355238
2022-09-14,210779.64660878057
2022-09-15,206789.62146226704
2022-09-16,204523.1479833589
2022-09-19,209653.20424371012
2022-09-20,212937.5147874485
2022-09-21,208621.75749213295
2022-09-22,207291.77702726793
2022-09-23,204156.7333401735
2022-09-26,204618.1435968522
2022-09-27,205961.75468644372
2022-09-28,203356.0231239051
2022-09-29,193367.3296328948
2022-09-30,187558.73626730303
2022-10-03,193326.6471385114
2022-10-04,198280.30092064338
2022-10-05,198687.37712023256
2022-10-06,197370.96446615522
2022-10-07,190123.76439747863
2022-10-10,190571.62778134923
2022-10-11,188617.2977024759
2022-10-12,187748.72749428955
2022-10-13,194059.53923882107
2022-10-14,187803.0196754198
2022-10-17,193272.37589536072
2022-10-18,195090.9231764594
2022-10-19,195240.21097108294
2022-10-20,194602.35636022576
2022-10-21,199868.13260441285
2022-10-24,202826.75287530845
2022-10-25,206748.8761539448
2022-10-26,202691.01195349294
2022-10-27,196515.98300673612
2022-10-28,211363.25091446663
2022-10-31,208106.05505432392
2022-11-01,204455.28799144088
2022-11-02,196828.1054687912
2022-11-03,188481.57771863995
2022-11-04,188114.57681202542
2022-11-07,188848.59956323402
2022-11-08,189637.08199940983
2022-11-09,183343.02063856678
2022-11-10,199655.9052430798
2022-11-11,203503.02867875097
2022-11-14,201572.67258653176
2022-11-15,203965.2345786549
2022-11-16,202265.9500294182
2022-11-17,204889.6673164423
2022-11-18,205664.47725193235
2022-11-21,201205.6507419376
2022-11-22,204155.53987533558
2022-11-23,205365.42008915424
2022-11-25,201341.58010556962
2022-11-28,196053.48397511762
2022-11-29,191907.30337666828
2022-11-30,201232.80730149258
2022-12-01,201613.4597708132
2022-12-02,200933.77107669404
2022-12-05,199329.6915207467
2022-12-06,194272.68787125684
2022-12-07,191594.65746512284
2022-12-08,193919.2128994708
2022-12-09,193253.13389209853
2022-12-12,196420.52675769135
2022-12-13,197752.74758637472
2022-12-14,194680.47596215282
2022-12-15,185558.86608277648
2022-12-16,182853.65817910794
2022-12-19,179944.53529201183
2022-12-20,179849.37217468166
2022-12-21,184131.482136763
2022-12-22,179754.22999533114
2022-12-23,179251.23691114582
2022-12-27,176763.53273967214
2022-12-28,171339.49677659833
