Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
Poland,2015,3373.0,122.4,100.9,59.0,40.9,105.3,63.7
Poland,2016,3451.0,123.9,103.9,56.6,45.5,121.6,64.55
Poland,2017,3502.0,124.1,105.3,53.2,46.0,126.5,65.38
Poland,2018,3542.0,128.0,105.9,71.8,46.3,119.3,66.2
Poland,2019,3537.0,129.9,108.1,57.0,44.2,113.8,67.0
Poland,2020,3593.0,133.2,110.1,64.8,47.1,107.5,67.77
Portugal,2010,3482.0,138.3,116.3,105.0,47.6,201.0,60.61
Portugal,2011,3463.0,139.9,113.1,115.5,44.2,125.7,60.87
Portugal,2012,3435.0,135.5,111.3,101.1,43.4,134.4,61.1
Portugal,2013,3418.0,134.6,111.1,113.7,39.5,117.4,61.32
Portugal,2014,3377.0,133.2,111.1,107.5,36.8,143.1,61.53
Portugal,2015,3437.0,138.1,112.3,101.5,38.0,168.4,61.72
Portugal,2016,3381.0,134.0,113.1,117.6,40.3,157.7,61.91
Portugal,2017,3410.0,134.0,114.8,129.5,36.0,156.5,62.08
Portugal,2018,3459.0,138.0,118.8,134.5,38.1,108.3,62.21
Portugal,2019,3491.0,146.3,118.6,141.7,35.1,128.9,62.3
Portugal,2020,3524.0,147.6,117.7,131.8,34.0,131.0,62.37
Spain,2010,3177.0,143.6,106.6,77.0,30.4,140.6,60.17
Spain,2011,3188.0,144.0,105.6,72.4,32.2,125.6,60.12
Spain,2012,3168.0,143.3,104.5,64.0,32.7,126.2,60.0
Spain,2013,3170.0,143.3,104.7,69.7,32.4,119.2,59.85
Spain,2014,3163.0,141.4,104.8,81.2,33.3,128.9,59.67
Spain,2015,3195.0,147.2,105.4,64.8,33.3,125.5,59.43
Spain,2016,3274.0,149.9,107.4,97.7,33.5,137.1,59.14
Spain,2017,3303.0,152.4,107.2,99.5,33.0,137.7,58.8
Spain,2018,3342.0,152.4,110.0,105.6,33.7,117.3,58.41
Spain,2019,3349.0,153.4,111.8,91.3,32.5,120.0,57.98
Spain,2020,3354.0,155.1,111.1,98.4,31.2,106.5,57.56
Sweden,2010,3149.0,129.8,108.5,72.2,50.0,78.5,52.85
Sweden,2011,3163.0,132.3,107.8,68.7,52.3,83.5,52.97
Sweden,2012,3172.0,134.4,105.9,67.3,52.9,87.4,53.06
Sweden,2013,3186.0,130.5,108.8,68.9,54.3,84.2,53.16
Sweden,2014,3198.0,135.0,108.1,65.8,50.6,88.9,53.25
Sweden,2015,3182.0,136.5,107.9,66.0,48.0,89.7,53.37
Sweden,2016,3192.0,138.0,106.7,66.7,48.1,89.9,53.5
Sweden,2017,3196.0,135.0,106.9,63.6,48.1,86.1,53.64
Sweden,2018,3175.0,132.8,105.2,59.5,49.1,83.2,53.78
Sweden,2019,3240.0,131.8,110.8,59.9,46.5,84.6,53.9
Sweden,2020,3252.0,134.2,109.8,60.2,38.0,88.4,54.02
Switzerland,2010,3448.0,156.9,94.7,81.1,58.6,92.2,45.56
Switzerland,2011,3491.0,158.5,95.5,73.9,58.0,102.9,45.47
Switzerland,2012,3382.0,151.3,92.0,82.2,60.1,99.0,45.38
Switzerland,2013,3391.0,153.5,93.0,80.8,60.2,98.4,45.28
Switzerland,2014,3421.0,156.9,97.0,81.6,52.0,94.8,45.19
Switzerland,2015,3398.0,159.1,97.3,80.9,48.3,93.9,45.12
Switzerland,2016,3364.0,155.2,96.7,80.6,47.7,92.8,45.05
Switzerland,2017,3388.0,154.8,96.9,84.6,49.0,94.1,44.99
Switzerland,2018,3379.0,157.9,97.4,83.8,45.3,92.8,44.93
Switzerland,2019,3386.0,158.2,96.5,79.5,46.1,88.7,44.88
Switzerland,2020,3399.0,160.2,98.0,83.1,46.8,93.8,44.81
Brazil,2010,3253.0,112.5,92.4,132.0,42.9,53.7,49.92
Brazil,2011,3295.0,118.6,93.7,142.0,42.9,54.1,51.1
Brazil,2012,3247.0,118.8,92.5,110.4,43.0,51.0,52.3
Brazil,2013,3261.0,119.9,94.1,101.1,43.0,53.0,53.51
Brazil,2014,3303.0,123.5,94.3,101.3,43.1,53.1,54.73
Brazil,2015,3248.0,125.1,92.8,100.3,42.8,51.5,55.94
Brazil,2016,3234.0,124.7,93.2,88.0,42.7,52.0,57.15
Brazil,2017,3250.0,125.1,94.1,93.5,42.6,52.1,58.34
Brazil,2018,3288.0,127.4,96.8,99.7,42.5,51.5,59.52
Brazil,2019,3291.0,136.0,92.5,98.0,42.1,49.6,60.69
Brazil,2020,3343.0,140.1,93.0,102.2,42.8,48.0,61.85
Chile,2010,2958.0,80.3,85.0,75.5,53.8,67.3,68.12
Chile,2011,2985.0,82.3,86.2,58.0,53.9,70.4,69.16
Chile,2012,2960.0,84.8,85.0,64.2,53.7,75.7,70.2
Chile,2013,3007.0,88.3,88.0,64.4,53.7,76.2,71.24
Chile,2014,3008.0,91.1,86.7,65.2,48.3,73.6,72.28
Chile,2015,2984.0,90.7,87.1,60.5,48.6,65.9,73.3
Chile,2016,3011.0,90.5,90.0,56.4,48.0,70.4,74.3
Chile,2017,3023.0,90.6,91.0,56.5,47.1,72.1,75.25
Chile,2018,3066.0,91.1,93.5,52.8,45.9,77.0,76.17
Chile,2019,3107.0,95.8,93.2,57.4,41.2,71.9,77.08
Chile,2020,3154.0,100.5,92.5,74.0,44.9,73.3,78.0
Estonia,2010,3305.0,92.0,98.4,57.4,73.6,100.5,57.4
Estonia,2011,3282.0,88.9,98.6,56.5,72.3,111.6,57.98
Estonia,2012,3223.0,93.8,96.5,58.4,74.6,94.7,58.57
Estonia,2013,3250.0,90.6,103.6,55.8,67.1,104.8,59.15
Estonia,2014,3210.0,106.6,100.2,71.4,61.5,96.5,59.75
Estonia,2015,3171.0,120.1,102.4,76.5,54.5,111.8,60.3
Estonia,2016,3142.0,119.4,103.0,78.0,48.0,100.3,60.81
Estonia,2017,3138.0,119.4,101.2,81.9,45.1,101.6,61.36
Estonia,2018,3189.0,125.2,104.2,78.8,52.0,105.6,61.9
Estonia,2019,3218.0,140.3,104.1,73.5,55.6,82.2,62.43
Estonia,2020,3175.0,133.7,101.4,74.7,68.2,80.4,62.92
India,2010,2391.0,49.5,58.8,52.5,20.9,72.8,17.65
India,2011,2428.0,49.3,59.3,50.5,22.1,77.4,18.49
India,2012,2424.0,51.2,59.4,51.5,22.6,81.5,19.35
India,2013,2464.0,51.1,61.3,56.0,22.8,85.4,20.25
India,2014,2491.0,54.6,62.0,59.0,21.6,88.3,21.17
India,2015,2464.0,54.8,61.6,57.8,22.5,84.4,22.13
India,2016,2518.0,54.4,63.4,57.9,22.9,87.0,23.12
India,2017,2561.0,57.4,65.1,61.3,22.3,90.2,24.13
India,2018,2580.0,60.1,64.8,62.9,25.0,88.5,25.16
India,2019,2581.0,60.2,66.2,63.6,23.1,89.0,26.18
India,2020,2599.0,59.7,67.2,63.5,21.5,90.7,27.22
Indonesia,2010,2632.0,45.7,58.1,56.9,15.9,39.8,23.56
Indonesia,2011,2689.0,43.8,59.9,61.7,18.8,41.6,24.68
Indonesia,2012,2732.0,47.3,60.4,66.1,19.1,41.7,25.84
Indonesia,2013,2769.0,50.5,61.7,61.1,21.1,41.3,27.05
Indonesia,2014,2843.0,51.3,63.3,62.9,24.6,42.8,28.31
Indonesia,2015,2820.0,46.2,63.9,68.2,25.2,41.4,29.6
Indonesia,2016,2911.0,57.8,65.2,61.6,25.6,42.6,30.91
Indonesia,2017,2991.0,62.3,70.3,64.5,24.2,43.7,32.23
Indonesia,2018,2943.0,60.3,68.9,66.3,26.5,44.4,33.55
Indonesia,2019,2920.0,69.7,69.8,66.4,26.1,45.3,34.87
Indonesia,2020,2924.0,69.0,68.8,69.4,27.0,47.4,36.2
Israel,2010,3540.0,142.1,123.9,105.0,31.6,170.2,56.22
Israel,2011,3540.0,142.3,124.5,96.2,31.6,171.7,56.28
Israel,2012,3540.0,148.7,123.2,103.4,31.8,173.3,56.29
Israel,2013,3552.0,146.8,126.3,95.6,31.2,175.4,56.28
Israel,2014,3576.0,150.6,126.8,94.9,31.4,174.6,56.26
Israel,2015,3511.0,149.0,122.6,93.2,30.7,161.3,56.25
Israel,2016,3518.0,154.4,124.8,103.2,30.6,165.5,56.24
Israel,2017,3565.0,157.1,125.6,106.6,31.4,152.5,56.21
Israel,2018,3567.0,148.8,128.6,100.0,42.4,155.0,56.17
Israel,2019,3596.0,143.3,127.7,107.2,46.1,147.1,56.11
Israel,2020,3613.0,146.3,125.6,104.1,47.4,153.3,56.06
Slovenia,2010,3176.0,121.8,100.5,108.2,44.2,68.7,57.92
Slovenia,2011,3165.0,119.4,98.9,107.9,43.1,74.4,58.19
Slovenia,2012,3160.0,118.9,98.3,93.4,48.1,69.6,58.45
